parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
model_sd[1,3];0.5154090515471429;0.13286063808648968;0.0017152234622515514;0.0013711910457737749;5815.315732950653;0.999896048408242;4.1166034400269655
model_sd[2,3];0.515407850927089;0.12891509825372766;0.0016642867620379333;0.0014582094486196586;6088.403387363645;0.9997940337714377;4.309919440259856
model_sd[3,3];0.5136566759354605;0.13007612924477452;0.001679275607680451;0.0018949400261697052;5705.832725148979;1.0007927979613063;4.039101521431707
model_sd[4,3];0.5132006868175368;0.12682566396327316;0.0016373122813381838;0.001708483273804735;5928.290887753134;1.0014958357907495;4.1965774143139125
model_sd[5,3];0.5153342643607081;0.132100382054846;0.0017054085990868522;0.0018554519906861405;5711.802325902133;0.9996932103522682;4.043327341683697
model_sd[6,3];0.5157119418155474;0.13159457262139848;0.0016988786273798625;0.00177698404520519;6039.323065665967;1.0008275190940228;4.275175974828827
model_sd[7,3];0.3853827866616561;0.09896600031796646;0.0012776455702408068;0.0013374022566439332;5776.969725612543;1.0009731594713462;4.0894586876234245
model_sd[8,3];0.37050583672182785;0.09444034050334141;0.0012192195532653302;0.0012924157496815708;5956.295453704007;1.0007720445584705;4.2164015645103685
model_sd[9,3];0.2935474295722946;0.07490178745497546;0.0009669779180476253;0.000990048198883107;5884.182406033775;0.9996082306464016;4.165353464331037
model_sd[10,3];0.33981039770025334;0.08596851780606371;0.001109848792536735;0.0011741707863750688;5752.360677666015;1.000351011883162;4.072038190425234
model_sd[11,3];0.2983642379221966;0.07637528078852306;0.0009860006351862167;0.0009500214647746695;5848.347057042461;0.9997746297638062;4.139985981685798
model_sd[12,3];0.39425819777849347;0.10042619804749944;0.0012964966418696439;0.0013414016078923522;5956.491821630698;0.9998903493996523;4.216540571388008
model_sd[13,3];0.4616380719950788;0.114888719830087;0.0014832069952300559;0.001405397057673551;5868.435464706079;0.9997647393071563;4.154206363156084
model_sd[14,3];0.46084214428643966;0.1161083299889932;0.0014989520946777528;0.0014110360391408514;6079.902245543745;0.9998473683435664;4.303901567582425
model_sd[15,3];0.4217031104341763;0.10620886156846024;0.001371150506914318;0.0013498838737251461;5979.040197304683;0.9998533825690158;4.232502339437952
model_sd[16,3];0.7330761006204515;0.18246853429103876;0.0023556586483869002;0.0023826965985784604;5890.171493875133;0.9995070762620206;4.169593079296509
model_sd[17,3];0.6807566985314364;0.17487688302850862;0.0022576508520202546;0.0022138977874930324;6037.309727529584;0.9998922960241164;4.273750753038854
model_sd[18,3];1.0411026414616793;0.26167100778657987;0.0033781581844757836;0.0030076311742300178;6147.529428418396;1.0001712830646443;4.351774169251099
model_sd[19,3];0.7710740996927858;0.19576481950539784;0.002527312952392356;0.0024373403569690564;6149.458896922573;0.9996871903830122;4.353140020573103
model_sd[20,3];0.5380063312986678;0.13738569847063195;0.0017736417406127708;0.001738115133829278;6228.737705419278;1.0001245588914256;4.409260690673535
model_sd[21,3];0.5740384824403444;0.14501598045168293;0.0018721482574110275;0.0017111482272233714;5922.830540501791;0.9994397413399558;4.19271208948705
model_sd[22,3];1.0114166637474638;0.25380496099502775;0.003276607957061885;0.003528197020761789;5884.688742727431;1.0001620452284499;4.165711894977048
